Author,Comment
@hellfire6372,"Đáng tiếc cho VQ, anh thành công quá sớm và cũng đánh mất mình quá sớm!"
@minhtuannguyen9206,"Nói chung cũng chỉ là ở cái thời đó thôi ,cũng chỉ đá hay ở giải trẻ. Cái thời mà bóng đá ĐNA chẳng chiến thuật gì, trình độ Đông Nam Á thuộc kém nhất thế giới nên mới đá được vậy , chứ nếu sinh ra ở thời này chắc cũng dự bị cho các em bây giờ hết. Bây giờ bóng đá khác rồi, sơ đồ chiến thuật, vị trí mới quan trọng, thể lực, thể hình , sức bền , bản lĩnh thi đấu là then chốt. Nói chung đối với mình lứa ngày xưa không hay bằng lứa bây giờ cả về toàn diện lẫn thành tích"
@phananhvu2008,Mỗi lần thấy Quyến là muốn khóc :(
@motieuuoc8201,thế là quá nhẹ .
@msang2114,"Ở Việt Nam ngoài VQ k có cầu thủ thứ 2 dc ký hợp đồng quảng cáo cho Pesi. Đứng ngang hàng vs Beckham, Caslos, Ronaldinho...."
@msang2114,Nếu VQ còn CV sẽ k bao h thành huyền thoại như bây h
@winwinwin9739,Thật sự đáng buồn khi mình không tự quyết định được số phận<br>Khi sau lưng cầu thủ còn rất nhiều thế lực đen<br>Nếu như...... thì Việt Nam chúng ta đã có cầu thủ ra châu âu chơi bóng đỉnh cao
@thangang2271,Tôi không thấy đáng trách chỉ thấy đáng tiếc ai mà không có quá khứ không trọn vẹn nhưng tiếc cho anh buồn cho cả bóng đá nước nhà
@quannguyenvan7099,"Pha ghi bàn vào lưới Hàn quốc thật sự đẳng cấp, đẳng cấp thế giới"
@quannguyenvan7099,"Thời kỳ VN còn nghèo cầu thủ đâu đc chăm bẵm như bây giờ ,lương thì ba cọc ba đồng nên rất nhiều cầu thủ sa ngã. Còn với Quyến trong những phút nông nổi đã dính bẫy cá độ khi còn quá trẻ và nổi tiếng quá sớm. Thật tiếc cho một tài năng lớn nhất VN từng có một tài năng mang tầm cỡ châu lục"
@mantranhoang2809,Thằng nhà báo tên Quân hay Quần mà so sanh VQ vs QH
@danbuielnino,"Lâu lâu có Seagames nhớ Văn Quyến ngày nào vào xem các video. Đi đọc comment dạo thấy đúng kiểu nghe kể lại xong đi xem tư liệu xong gõ phím. Như anh Quân nói nếu là niềm tự hào của dân tộc thì Văn Quyến không thể so với QH, VH ngày nay hay Hồng Sơn, Công Vinh trong quá khứ nhưng xét trên khía cạnh tài năng thì đến nay chưa ai qua đc VQ. Chỉ ai xem bóng đá Việt Nam trực tiếp từ những năm 9x đến giờ mới hiểu được điều đó"
@oanhnguyen6646,Đưa cái này vào bài học bóng đá
@tuandao6492,Sao cang noi doi quoay di quoay lai thi thanh dong cut thanh noi nhuc chu tai gi nua
@huannguyentuyen7353,Văn quyến một tài năng bẩm sinh cho đến bây giờ k ai sánh đc với anh. Chỉ tiếc rằng anh mắc sai lầm. Nếu bóng đá giang tay tha cho anh thì tốt biết bao.
@phatdatfloor,Yes no one bằng Văn Quyến
@dacnguyen7187,Đcm nó có tài mà vô dụng
@tamga353,Đúng văn quyến xuất sắc . Quang Hải thế hệ sao nên đào tạo bài bản rồi.
@ownlittlecorner768,Hoàn cảnh không phải lí do để biện minh cho lỗi lầm.<br>Có tài nhưng không đủ đức thì cũng thôi ạ.
@NguyenNam-pp7tk,Khó ai vượt qua được vq
@williamZZaa1122,Sau 19 năm se games lại đến Việt Nam<br>Văn quyến và ca khúc vì một thế giới ngày mai sẽ còn đọng mãi trong ký ức của chúng ta
@VanNguyen-fu9du,"What, Hưng Yên? nó là tỉnh mà, Hưng Nguyên mới là 1 huyện của Nghệ An."
@quanduong6048,Thiên tài lệch sóng
@kaykay-su8un,Là bài học cho các cầu thủ mai sau dù khó khăn dù nghèo khó . Thì đừng để bao giờ nghèo khó thắng vinh quang
@TuanNguyen-vp7hv,Nhìn văn quyen muốn khóc vì anh quá tài
@trungtran4944,quỳnh yên nghệ an nhé ab
,Đá banh cũng bị kết án...bọn nó cá độ ở trên thua rán chịu...hôm đó bị tiêu chảy đá không nổi được không...<br>Còn bên kia lì xì bình thường thôi...
@TS-Piano,Tr ơi phút thứ 9 đỉnh quá
@soochan1535,Cuộc sống  sinh ra nghèo nên k trách dc
@code_taiwan,Giờ vẫn tiếc ~~ thứ bóng đá quá đẹp.
